ID,Cross,RIX_ID,Sex,Cohort,Date of Assay,Treatment,Timepoint,Number of cells,MM R1 singles,MM R2 Viable Cells,MM R3 LCA+ non-AF cells,MM R3 LCA+ AF cells,MM R5 CD11c+ cells,MM R6 Neutrophils,MM R7 SigLecF+ cells,MM R7 R8 Alveolar Macs,MM R8 Eosinophils,MM R9 P DCs,MM R10 Mo DCs,MM R11 CD11b Hi DCs,MM R12 Monocytes,MM R13 Lymphocytes,MM R14 Ly 6C Low Monos,MM R15 Ly 6C Hi Monos,LYM R1 Singles,LYM R2 Viable Cells,LYM R3 Viable Lcs,LYM R4 LCA+ lcs,LYM R5 T Cells,LYM R6 CD4 T Cells,LYM R7 CD8 T Cells,LYM R8 B Cells,LYM R9 NK Cells,DC R1 Singles,DC R2 Viable Cells,DC R3 LCA+ cells,DC R3 R4 lin- cells,DC R4 Lin Pos Cells,DC R5 CD11c+ cells,DC R6 CD8 DCs,DC R7 CD103 DCs,DC R8 CD205 DCs,DC R9 CD326 DCs,DC R10 CD205+ CD103- DCs,DC R12 CD205+ CD103+ DCs,DC R12 CD205- CD103- DCs,DC R13 CD205- CD103+ DCs,Notes
15156x1566_118,15156x1566,118,f,1_13i,2013-01-28,Mock,7,2641600,232089,231428,73012,73967,72885,12239,37001,26995,10006,19,18567,3970,13014,60615,4698,8378,107555,107165,69487,44748,20390,8223,6456,7427,3752,148958,148451,92452,32497,59955,7411,6,306,,,,,,,
15156x1566_122,15156x1566,122,f,1_13i,2013-01-28,Mock,7,2695000,231344,230753,76990,79263,77571,14208,35548,20583,14965,8,22346,4330,18028,59742,6936,11185,123196,122820,81740,55838,20575,7974,6644,10704,4223,178917,178432,119260,48876,70384,10090,8,449,,,,,,,
15156x1566_123,15156x1566,123,f,1_13i,2013-01-28,Mock,7,1409100,160532,159919,48219,52014,51140,8992,23295,18048,5247,8,15534,2380,11230,37411,4195,7097,124444,124089,84530,53766,20871,8833,6373,10029,5007,116900,116484,71815,26743,45072,6284,4,220,,,,,,,
8016x8034_100,8016x8034,100,f,1_13i,2013-01-28,Mock,7,2695000,223323,221042,83138,48748,46174,6885,18663,12309,6354,50,12095,5110,19554,64776,13529,6150,106784,106318,74121,49137,18060,7299,4093,12374,3340,181802,180889,111897,33882,78015,9175,21,389,,,,,,,
8016x8034_106,8016x8034,106,f,1_13i,2013-01-28,Mock,7,3852000,226247,225026,97697,57105,52943,9483,23090,10488,12602,68,12409,3820,24552,74503,17936,6732,102729,102323,72558,53264,18329,7451,4199,17413,3657,164843,164261,116267,40051,76216,9059,16,365,,,,,,,
8016x8034_121,8016x8034,121,f,1_13i,2013-01-28,Mock,7,2926000,257847,255057,100186,46822,43911,4637,15768,9335,6433,74,15149,3992,25858,75532,17878,8104,123863,123505,93505,58178,20757,7264,6768,15418,5712,169646,168555,99310,33064,66246,9218,13,409,,,,,,,
8042x8008_69,8042x8008,69,f,1_13i,2013-01-28,Mock,7,2355000,120647,119765,60080,58749,55217,3358,18259,10032,8227,22,10960,711,18277,42134,10158,8218,102614,102113,65886,,17530,7732,4575,8037,4270,110239,109755,109755,63362,46393,12335,27,233,,,,,,,
8042x8008_70,8042x8008,70,f,1_13i,2013-01-28,Mock,7,1848000,219360,217864,90021,123474,113940,7877,43600,16963,26637,16,15128,1225,20405,70258,10734,9800,110995,110515,66477,,18623,7991,5113,6520,4598,186173,185396,185396,112602,72794,19338,45,536,,,,,,,
8042x8008_79,8042x8008,79,f,1_13i,2013-01-28,Mock,7,1578500,176549,175302,77097,94576,87324,6747,30905,16497,14408,21,16238,1249,15914,61525,7116,8870,108209,107715,68847,,18243,8496,4431,10515,3802,150872,149856,149854,82620,67234,15233,33,407,,,,,,,
13140x3015_208,13140x3015,208,f,4_13iv,2013-04-19,Mock,4,1370000,6447,5968,4458,1354,1235,158,227,132,88,0,0,580,3957,633,1554,2246,9560,9340,5192,5169,322,301,26,3605,13,,,,,,,,,,,,,,,
13140x3015_209,13140x3015,209,f,4_13iv,2013-04-19,Mock,4,1300000,20778,16299,8251,7008,6767,1864,971,10,949,0,0,1335,7622,838,1550,5675,36320,32691,21543,17725,6264,4712,1505,5779,20,,,,,,,,,,,,,,,
16211x13140_6,16211x13140,6,f,4_13iv,2013-04-19,Mock,4,1300000,31369,24844,9566,8889,7822,2344,365,30,330,1,1,1092,7875,1838,6940,781,33100,31808,20563,16922,7325,4274,2919,2490,1859,,,,,,,,,,,,,,,
16211x13140_13,16211x13140,13,f,4_13iv,2013-04-19,Mock,4,1500000,9370,9029,5212,3620,3523,736,465,32,380,0,0,1885,5141,71,75,4765,48647,44649,30313,25191,8314,5297,2857,7281,787,,,,,,,,,,,,,,,
16211x13140_14,16211x13140,14,f,4_13iv,2013-04-19,Mock,4,1500000,6443,6068,3305,2424,2349,557,388,24,342,0,0,1400,3299,6,111,2804,1511,1400,590,581,12,4,7,524,62,,,,,,,,,,,,,,,
16188x3252_184,16188x3252,184,f,5_13v,2013-05-24,Mock,4,783000,229370,201486,51852,51256,35332,13528,18440,13838,4215,36,1922,366,18342,33900,9338,6289,173308,166590,108938,71686,31894,12971,5660,13879,5389,222610,204691,117015,95438,21577,25164,61,957,38,1246,1743,16,23352,53,
16188x3252_188,16188x3252,188,f,5_13v,2013-05-24,Mock,4,1280000,222896,213579,46857,54077,38966,10027,27142,23066,3778,19,649,268,14423,32871,7193,7479,174499,155448,99493,58348,25255,10894,4387,10135,5203,237859,211833,117044,95485,21559,36475,52,880,53,1778,1477,33,34886,79,
16188x3252_189,16188x3252,189,f,5_13v,2013-05-24,Mock,4,1220000,221959,221530,58514,52184,35992,12415,20261,16813,3173,18,1213,569,13472,45459,5822,7917,169525,150859,99535,60149,23765,9343,4966,16552,4504,260052,241216,132548,102371,30177,31495,50,1000,35,1319,1717,19,29709,50,
16441x8005_81,16441x8005,81,f,5_13v,2013-05-24,Mock,4,1040000,238701,246304,56157,75132,52644,15877,32828,25929,6408,9,1108,1683,23804,33102,17740,6690,145570,144554,90051,60232,19548,8980,4198,9872,7150,254873,248246,146709,113440,33269,37944,24,2415,49,1412,4136,33,33719,56,
16441x8005_82,16441x8005,82,f,5_13v,2013-05-24,Mock,4,1910000,228359,220413,61554,69967,47347,14435,29060,22348,5814,10,1318,1484,19419,42698,17697,2204,171466,156470,105845,74512,27526,11205,7647,14747,5809,198425,174299,111789,85283,26506,24393,12,1168,42,768,1917,27,22403,46,
